SCH_ID,SCH_NAME,SCH_CAT,SCH_TYPE,LAT,LONG,BARANGAY,MUNNAME,PROV,PSGC_MUNI,PSGC_BRGY,PSGC_PROV
318244,Mamasarogan Mem. NHS,JHS,Public,7.865442,124.147716,Lumbaca-Ingud,BACOLOD-KALAWI (BACOLOD GRANDE),LANAO DEL SUR,PH153601000,PH153601016,PH153600000
133546,Cabombongan ES,ES,Public,7.86037,124.143951,Liawao,BACOLOD-KALAWI (BACOLOD GRANDE),LANAO DEL SUR,PH153601000,PH153601015,PH153600000
133561,Dilabayan PS,PS,Public,7.857816,124.130972,Dilabayan,BACOLOD-KALAWI (BACOLOD GRANDE),LANAO DEL SUR,PH153601000,PH153601008,PH153600000
133547,Gasan PS,PS,Public,7.859439,124.143696,Bubong,BACOLOD-KALAWI (BACOLOD GRANDE),LANAO DEL SUR,PH153601000,PH153601007,PH153600000
133562,Gurain PS,PS,Public,7.883304,124.109281,Gurain,BACOLOD-KALAWI (BACOLOD GRANDE),LANAO DEL SUR,PH153601000,PH153601012,PH153600000
133549,Kalawi CES,CES,Public,7.861421,124.144963,Poblacion II,BACOLOD-KALAWI (BACOLOD GRANDE),LANAO DEL SUR,PH153601000,PH153601022,PH153600000
133563,Pindulonan ES,ES,Public,7.85756,124.12693,Pindolonan,BACOLOD-KALAWI (BACOLOD GRANDE),LANAO DEL SUR,PH153601000,PH153601020,PH153600000
133564,Raya ES,ES,Public,7.8652,124.134,Raya,BACOLOD-KALAWI (BACOLOD GRANDE),LANAO DEL SUR,PH153601000,PH153601023,PH153600000
133565,Rorowan PS,PS,Public,7.855833,124.141389,Rorowan,BACOLOD-KALAWI (BACOLOD GRANDE),LANAO DEL SUR,PH153601000,PH153601024,PH153600000
133552,Talob PS,PS,Public,7.870339,124.153308,Sugod,BACOLOD-KALAWI (BACOLOD GRANDE),LANAO DEL SUR,PH153601000,PH153601025,PH153600000
133553,Tambo PS,PS,Public,7.861816,124.142304,Tambo,BACOLOD-KALAWI (BACOLOD GRANDE),LANAO DEL SUR,PH153601000,PH153601026,PH153600000
133554,Tuka PS,PS,Public,7.868454,124.151616,Tuka I,BACOLOD-KALAWI (BACOLOD GRANDE),LANAO DEL SUR,PH153601000,PH153601027,PH153600000
133555,Tulain PS,PS,Public,7.865439,124.14831,Lumbaca-Ingud,BACOLOD-KALAWI (BACOLOD GRANDE),LANAO DEL SUR,PH153601000,PH153601016,PH153600000
133556,Ulodan ES,ES,Public,7.862441,124.145753,Ilian,BACOLOD-KALAWI (BACOLOD GRANDE),LANAO DEL SUR,PH153601000,PH153601013,PH153600000
408948,"Ma'had Al-Irshad Al-Islamie, Inc.",MD,Private,7.855847,124.138967,Orong,BACOLOD-KALAWI (BACOLOD GRANDE),LANAO DEL SUR,PH153601000,PH153601019,PH153600000
133557,Awani ES,ES,Public,7.857555,124.134773,Buadiawani,BACOLOD-KALAWI (BACOLOD GRANDE),LANAO DEL SUR,PH153601000,PH153601006,PH153600000
133558,Bacolod CES,CES,Public,7.856479,124.140669,Ampao,BACOLOD-KALAWI (BACOLOD GRANDE),LANAO DEL SUR,PH153601000,PH153601001,PH153600000
133559,Bagua-ingud PS,PS,Public,7.855786,124.138193,Bagoaingud,BACOLOD-KALAWI (BACOLOD GRANDE),LANAO DEL SUR,PH153601000,PH153601002,PH153600000
133560,Balut PS,PS,Public,7.855535,124.140809,Balut,BACOLOD-KALAWI (BACOLOD GRANDE),LANAO DEL SUR,PH153601000,PH153601004,PH153600000
133545,Barua ES,ES,Public,7.867377,124.147716,Barua,BACOLOD-KALAWI (BACOLOD GRANDE),LANAO DEL SUR,PH153601000,PH153601005,PH153600000
133576,Balabagan CES,CES,Public,7.511681,124.125169,Banago,Balabagan,LANAO DEL SUR,PH153602000,PH153602002,PH153600000
133566,Barorao CES,CES,Public,7.550233,124.106461,Barorao,Balabagan,LANAO DEL SUR,PH153602000,PH153602003,PH153600000
133567,Calilangan PS,PS,Public,7.550247,124.138222,Calilangan,Balabagan,LANAO DEL SUR,PH153602000,PH153602007,PH153600000
133578,Igabay ES,ES,Public,7.541721,124.186941,Igabay,Balabagan,LANAO DEL SUR,PH153602000,PH153602008,PH153600000
216036,Ilian PS,PS,Public,7.57526,124.164718,Ilian,Balabagan,LANAO DEL SUR,PH153602000,PH153601013,PH153600000
133568,Lalabuan ES,ES,Public,7.563821,124.087745,Lalabuan,Balabagan,LANAO DEL SUR,PH153602000,PH153602010,PH153600000
133579,Lorenzo ES,ES,Public,7.515749,124.121957,Lorenzo,Balabagan,LANAO DEL SUR,PH153602000,PH153602027,PH153600000
133569,Magolalung Or. ES,ES,Public,7.568333,124.144722,Magulalung Oriental,Balabagan,LANAO DEL SUR,PH153602000,PH153602012,PH153600000
133570,Matampay ES,ES,Public,7.554442,124.096861,Matampay,Balabagan,LANAO DEL SUR,PH153602000,PH153602053,PH153600000
133571,Molimoc PS,PS,Public,7.536798,124.105874,Molimoc,Balabagan,LANAO DEL SUR,PH153602000,PH153602013,PH153600000
133573,Purakan ES,ES,Public,7.557008,124.134659,Purakan,Balabagan,LANAO DEL SUR,PH153602000,PH153602016,PH153600000
133574,Tataya PS,PS,Public,7.566389,124.156389,Tataya,Balabagan,LANAO DEL SUR,PH153602000,PH153602056,PH153600000
133581,Upper Itil ES,ES,Public,7.539444,124.168889,Upper Itil,Balabagan,LANAO DEL SUR,PH153602000,PH153602043,PH153600000
476004,"Shalom Science Institute,Inc.",PES,Private,7.511267,124.12625,Banago,Balabagan,LANAO DEL SUR,PH153602000,PH153602002,PH153600000
406063,"San Isidro High School of Balabagan, Inc.",PES,Private,7.508767,124.12965,Poblacion (Balabagan),Balabagan,LANAO DEL SUR,PH153602000,PH153602039,PH153600000
324725,Bae Lalawanen M. Sarip MNHS,JHS,Public,7.572458,124.141128,Magulalung Occidental,Balabagan,LANAO DEL SUR,PH153602000,PH153602011,PH153600000
324717,Balabagan NHS,JHS,Public,7.553056,124.115833,Purakan,Balabagan,LANAO DEL SUR,PH153602000,PH153602016,PH153600000
324704,Mamenting MNHS,JHS,Public,7.544167,124.189444,Igabay,Balabagan,LANAO DEL SUR,PH153602000,PH153602008,PH153600000
324705,Mikunug Mem. NHS,JHS,Public,7.498269,124.136056,Batuan,Balabagan,LANAO DEL SUR,PH153602000,PH153602004,PH153600000
324722,Sultan Balindong NHS,JHS,PUBLIC,7.562799,124.095387,Macao,Balabagan,LANAO DEL SUR,PH153602000,PH153602032,PH153600000
324708,Sultan Mangalampa Daing NHS,SHS,Public,7.547706,124.106792,Barorao,Balabagan,LANAO DEL SUR,PH153602000,PH153602003,PH153600000
304996,Tataya NHS,JHS,Public,7.561667,124.155833,Tataya,Balabagan,LANAO DEL SUR,PH153602000,PH153602056,PH153600000
324731,Balabagan Trade School,SUC,SUC ,7.510035,124.138241,Poblacion (Balabagan),Balabagan,LANAO DEL SUR,PH153602000,PH153602039,PH153600000
406063,"San Isidro High School of Balabagan, Inc.",PSHS,Private,7.508766667,124.12965,Poblacion (Balabagan),BALABAGAN,LANAO DEL SUR,PH153602000,PH153602039,PH153600000
476004,"Shalom Science Institute,Inc.",PJHS,Private,7.511266667,124.12625,Poblacion (Balabagan),BALABAGAN,LANAO DEL SUR,PH153602000,PH153602039,PH153600000
133212,Abaga ES,ES,Public,7.920144,124.179126,Abaga,BALINDONG (WATU),LANAO DEL SUR,PH153603000,PH153603001,PH153600000
133213,Badak PS,PS,Public,7.920582,124.166103,Barit,BALINDONG (WATU),LANAO DEL SUR,PH153603000,PH153603008,PH153600000
133225,Balindong CES,CES,Public,7.913656,124.20335,Salipongan,BALINDONG (WATU),LANAO DEL SUR,PH153603000,PH153603047,PH153600000
133214,Barrit PS,PS,Public,7.916716,124.171948,Barit,BALINDONG (WATU),LANAO DEL SUR,PH153603000,PH153603008,PH153600000
133227,Bliss PS,PS,Public,7.909052,124.190833,Lati,BALINDONG (WATU),LANAO DEL SUR,PH153603000,PH153603055,PH153600000
133215,Borakis PS,PS,Public,7.893273,124.20935,Borakis,BALINDONG (WATU),LANAO DEL SUR,PH153603000,PH153603013,PH153600000
133228,Buadintad PS,PS,Public,7.911556,124.199088,Poblacion (Balindong),BALINDONG (WATU),LANAO DEL SUR,PH153603000,PH153603005,PH153600000
133216,Buaditara PS,PS,Public,7.916128,124.191314,Dadayag,BALINDONG (WATU),LANAO DEL SUR,PH153603000,PH153603021,PH153600000
133217,Bualan ES,ES,Public,7.92883,124.147031,Bualan,BALINDONG (WATU),LANAO DEL SUR,PH153603000,PH153603014,PH153600000
133229,Bubong Lalabuan ES,ES,Public,7.922112,124.217044,Bubong,BALINDONG (WATU),LANAO DEL SUR,PH153603000,PH153601007,PH153600000
133218,Cadapaan ES,ES,Public,7.906985,124.187595,Cadapaan,BALINDONG (WATU),LANAO DEL SUR,PH153603000,PH153603015,PH153600000
133231,Calimodan PS,PS,Public,7.914364,124.212523,Malaig,BALINDONG (WATU),LANAO DEL SUR,PH153603000,PH153603056,PH153600000
133232,Dado ES,ES,Public,7.936884,124.190735,Dado,BALINDONG (WATU),LANAO DEL SUR,PH153603000,PH153603022,PH153600000
133234,Dilausan ES,ES,Public,7.918965,124.192486,Dilausan,BALINDONG (WATU),LANAO DEL SUR,PH153603000,PH153603025,PH153600000
215501,Karigongan PS,PS,Public,7.916821,124.201075,Salipongan,BALINDONG (WATU),LANAO DEL SUR,PH153603000,PH153603047,PH153600000
133235,Lalabuan PS,PS,Public,7.924542,124.219907,Lalabuan,BALINDONG (WATU),LANAO DEL SUR,PH153603000,PH153602010,PH153600000
133219,Lilod ES,ES,Public,7.896808,124.216079,Lilod,BALINDONG (WATU),LANAO DEL SUR,PH153603000,PH153603031,PH153600000
133220,Lilod-Raya Pilot ES,ES,Public,7.897044,124.209126,Raya,BALINDONG (WATU),LANAO DEL SUR,PH153603000,PH153601023,PH153600000
215518,Lilod-Raya Pilot ES (Annex),ES,Public,7.89506,124.209439,Raya,BALINDONG (WATU),LANAO DEL SUR,PH153603000,PH153601023,PH153600000
133221,Limbo PS,PS,Public,7.894453,124.205517,Limbo,BALINDONG (WATU),LANAO DEL SUR,PH153603000,PH153603033,PH153600000
133223,Lombayao CES,CES,Public,7.907081,124.199349,Lumbayao,BALINDONG (WATU),LANAO DEL SUR,PH153603000,PH153603032,PH153600000
133222,Lumbac PS,PS,Public,7.899287,124.210348,Lumbac Wato,BALINDONG (WATU),LANAO DEL SUR,PH153603000,PH153603036,PH153600000
133237,Malaig ES,ES,Public,7.918806,124.207615,Malaig,BALINDONG (WATU),LANAO DEL SUR,PH153603000,PH153603056,PH153600000
215517,Moriatao Bae ES,ES,Public,7.897553,124.213391,Lilod,BALINDONG (WATU),LANAO DEL SUR,PH153603000,PH153603031,PH153600000
133224,Nusa ES,ES,Public,7.882206,124.211675,Lilod,BALINDONG (WATU),LANAO DEL SUR,PH153603000,PH153603031,PH153600000
133238,Pagayawan PS,PS,Public,7.924178,124.201932,Pagayawan,BALINDONG (WATU),LANAO DEL SUR,PH153603000,PH153603043,PH153600000
133239,Paigoay PS,PS,Public,7.918061,124.209924,Paigoay,BALINDONG (WATU),LANAO DEL SUR,PH153603000,PH153603044,PH153600000
133240,Pantao Raya PS,PS,Public,7.92522,124.167835,Poblacion (Balindong),BALINDONG (WATU),LANAO DEL SUR,PH153603000,PH153603005,PH153600000
133241,Pantaragaoo PS,PS,Public,7.925817,124.212741,Pantaragoo,BALINDONG (WATU),LANAO DEL SUR,PH153603000,PH153603006,PH153600000
215516,Pindolonan PS,PS,Public,7.897449,124.206967,Tantua Raya,BALINDONG (WATU),LANAO DEL SUR,PH153603000,PH153603052,PH153600000
215524,Saliwato PS,PS,Public,7.910696,124.190681,Lati,BALINDONG (WATU),LANAO DEL SUR,PH153603000,PH153603055,PH153600000
133242,Talob PS,PS,Public,7.923881,124.183666,Talub,BALINDONG (WATU),LANAO DEL SUR,PH153603000,PH153603050,PH153600000
215519,Tuca PS,PS,Public,7.896974,124.215554,Lilod,BALINDONG (WATU),LANAO DEL SUR,PH153603000,PH153603031,PH153600000
133243,Tuka PS,PS,Public,7.919708,124.215222,Tuka Bubong,BALINDONG (WATU),LANAO DEL SUR,PH153603000,PH153603053,PH153600000
304958,Balindong NHS,SHS,Public,7.914409,124.204448,Salipongan,Balindong (Watu),LANAO DEL SUR,PH153603000,PH153603047,PH153600000
600313,MSU-Balindong Community High School,SUC,SUC ,7.916866667,124.2069333,Tomarompong,BALINDONG (WATU),LANAO DEL SUR,PH153603000,PH153603051,PH153600000
133894,Bualan ES,ES,Public,7.438963,124.300556,Bualan,Barira,MAGUINDANAO,PH153818000,PH153818002,PH153800000
133895,Datu Mantani Taug MPS,PS,Public,7.43833,124.287471,Bualan,Barira,MAGUINDANAO,PH153818000,PH153818002,PH153800000
133892,Abubacar Siddique ES,ES,Public,7.544751,124.314241,Togaig,Barira,MAGUINDANAO,PH153818000,PH153818010,PH153800000
261503,Angimbzar T. Pendatu ES,ES,Public,7.493889,124.318,Barira (Pob.),Barira,MAGUINDANAO,PH153818000,PH153818001,PH153800000
133893,Barira CES,CES,Public,7.46769,124.35682,Barira (Pob.),Barira,MAGUINDANAO,PH153818000,PH153818001,PH153800000
133896,Gadung ES,ES,Public,7.395705,124.321,Gadung,Barira,MAGUINDANAO,PH153818000,PH153818003,PH153800000
133897,Gubat PS,PS,Public,7.409167,124.313614,Gadung,Barira,MAGUINDANAO,PH153818000,PH153818003,PH153800000
133898,Ibra Bulyoc Memo CES,CES,Public,7.51689,124.319625,Togaig,Barira,MAGUINDANAO,PH153818000,PH153818010,PH153800000
133899,Korosuyan ES,ES,Public,7.395528,124.327883,Korosoyan,Barira,MAGUINDANAO,PH153818000,PH153818012,PH153800000
216605,Lamin PS,PS,Public,7.4851,124.343575,Lamin,Barira,MAGUINDANAO,PH153818000,PH153818013,PH153800000
133900,Lipa PS,PS,Public,7.429323,124.309691,Lipa,Barira,MAGUINDANAO,PH153818000,PH153818005,PH153800000
216550,Lipawan PS,PS,Public,7.460389,124.336411,Lipawan,Barira,MAGUINDANAO,PH153818000,PH153818006,PH153800000
216637,L'mbak ES,ES,Public,7.483551,124.293666,Barira (Pob.),Barira,MAGUINDANAO,PH153818000,PH153818001,PH153800000
133901,Macarimbang ES,ES,Public,7.498124,124.324813,Barira (Pob.),Barira,MAGUINDANAO,PH153818000,PH153818001,PH153800000
216551,Madalum ES,ES,Public,7.525111,124.342823,Nabalawag,Barira,MAGUINDANAO,PH153818000,PH153818008,PH153800000
133902,Manalao PS,PS,Public,7.48005,124.299,Barira (Pob.),Barira,MAGUINDANAO,PH153818000,PH153818001,PH153800000
216606,Minabay PS,PS,Public,7.487897,124.3591,Minabay,Barira,MAGUINDANAO,PH153818000,PH153818011,PH153800000
133903,Morog-Mamalakat CES,CES,Public,7.410417,124.297981,Marang,Barira,MAGUINDANAO,PH153818000,PH153818007,PH153800000
253007,Mupaat PS,PS,Public,7.408555,124.298282,Marang,Barira,MAGUINDANAO,PH153818000,PH153818007,PH153800000
133904,Nabalawag ES,ES,Public,7.522223,124.329258,Nabalawag,Barira,MAGUINDANAO,PH153818000,PH153818008,PH153800000
133905,Nate-Umpar PS,PS,Public,7.40656,124.3254,Gadung,Barira,MAGUINDANAO,PH153818000,PH153818003,PH153800000
133906,Palangka PS,PS,Public,7.420803,124.347122,Rominimbang,Barira,MAGUINDANAO,PH153818000,PH153818009,PH153800000
253008,Panasang PS,PS,Public,7.469889,124.315943,Liong,Barira,MAGUINDANAO,PH153818000,PH153818004,PH153800000
253002,Panggao PS,PS,Public,7.425695,124.28559,Panggao,Barira,MAGUINDANAO,PH153818000,PH153818014,PH153800000
133907,Ruminimbang ES,ES,Public,7.392864,124.338164,Rominimbang,Barira,MAGUINDANAO,PH153818000,PH153818009,PH153800000
253006,Saday ES,ES,Public,7.427222,124.331108,Gadung,Barira,MAGUINDANAO,PH153818000,PH153818003,PH153800000
216593,Sultan Malambut ES,ES,Public,7.503995,124.340322,Lamin,Barira,MAGUINDANAO,PH153818000,PH153818013,PH153800000
133908,Sumesid ES,ES,Public,7.459736,124.315286,Liong,Barira,MAGUINDANAO,PH153818000,PH153818004,PH153800000
253009,Tanggao PS,PS,Public,7.424634,124.306866,Lipa,Barira,MAGUINDANAO,PH153818000,PH153818005,PH153800000
133909,Tantangan PS,PS,Public,7.537361,124.341442,Nabalawag,Barira,MAGUINDANAO,PH153818000,PH153818008,PH153800000
216639,Tanulang PS,PS,Public,7.476972,124.316534,Barira (Pob.),Barira,MAGUINDANAO,PH153818000,PH153818001,PH153800000
253004,Tataya PS,PS,Public,7.486612,124.307159,Barira (Pob.),Barira,MAGUINDANAO,PH153818000,PH153818001,PH153800000
133911,Tomawis Memo PS,PS,Public,7.512128,124.326967,Barira (Pob.),Barira,MAGUINDANAO,PH153818000,PH153818001,PH153800000
324302,Datu Malambut NHS,SHS,Public,7.467199,124.357149,Lipawan,Barira,MAGUINDANAO,PH153818000,PH153818006,PH153800000
326004,Ibrahim B. Tomawis NHS,JHS,Public,7.512038,124.326984,Barira (Pob.),Barira,MAGUINDANAO,PH153818000,PH153818001,PH153800000
305023,Sultan Barira NHS,JHS,Public,7.458264,124.313782,Liong,Barira,MAGUINDANAO,PH153818000,PH153818004,PH153800000
216068,Balindong-Adil PS,PS,Public,7.798935,124.190113,Bagoaingud,Bayang,LANAO DEL SUR,PH153604000,PH153601002,PH153600000
133590,Bandingun ES,ES,Public,7.778611,124.184444,Bandingun,Bayang,LANAO DEL SUR,PH153604000,PH153604005,PH153600000
133591,Biabi PS,PS,Public,7.790361,124.172419,Biabi,Bayang,LANAO DEL SUR,PH153604000,PH153604006,PH153600000
216021,Bialaan PS,PS,Public,7.776089,124.181662,Bialaan,Bayang,LANAO DEL SUR,PH153604000,PH153604007,PH153600000
133592,Bobong ES,ES,Public,7.777267,124.199133,Bubong Lilod,Bayang,LANAO DEL SUR,PH153604000,PH153604017,PH153600000
133593,Cadayonan PS,PS,Public,7.771667,124.206111,Cadayonan,Bayang,LANAO DEL SUR,PH153604000,PH153603016,PH153600000
216015,Cubo PS,PS,Public,7.781818,124.177324,Cormatan,Bayang,LANAO DEL SUR,PH153604000,PH153604013,PH153600000
133600,Dandamun CPS,CES,Public,7.793211,124.197871,Rinabor (Pob.),Bayang,LANAO DEL SUR,PH153604000,PH153604039,PH153600000
216025,Dimunda PS,PS,Public,7.783726,124.203609,Mapantao,Bayang,LANAO DEL SUR,PH153604000,PH153604025,PH153600000
133601,Diwan CES,CES,Public,7.798677,124.1973,Maliwanag,Bayang,LANAO DEL SUR,PH153604000,PH153604024,PH153600000
133602,Gandamato PS,PS,Public,7.791944,124.194167,Gandamato,Bayang,LANAO DEL SUR,PH153604000,PH153601011,PH153600000
216016,Ilian PS,PS,Public,7.786014,124.189878,Ilian,Bayang,LANAO DEL SUR,PH153604000,PH153601013,PH153600000
133594,Linao ES,ES,Public,7.76784,124.191931,Linao,Bayang,LANAO DEL SUR,PH153604000,PH153604018,PH153600000
133599,Linuk PS,PS,Public,7.792222,124.192778,Linuk (Pob.),Bayang,LANAO DEL SUR,PH153604000,PH153604019,PH153600000
133595,Lucman ES,ES,Public,7.785,124.218611,Lalapung Proper (Pob.),Bayang,LANAO DEL SUR,PH153604000,PH153604015,PH153600000
216024,Lumbac PS,PS,Public,7.798931,124.195203,Lumbac,Bayang,LANAO DEL SUR,PH153604000,PH153602052,PH153600000
216017,Mimbalawag PS,PS,Public,7.766365,124.183391,Mimbalawag,Bayang,LANAO DEL SUR,PH153604000,PH153604022,PH153600000
133596,Palao ES,ES,Public,7.783781,124.187744,Palao,Bayang,LANAO DEL SUR,PH153604000,PH153604030,PH153600000
133603,Parao PS,PS,Public,7.792796,124.195954,Parao,Bayang,LANAO DEL SUR,PH153604000,PH153604034,PH153600000
216033,Patong PS,PS,Public,7.775239,124.202008,Patong,Bayang,LANAO DEL SUR,PH153604000,PH153604035,PH153600000
133604,Rantian ES,ES,Public,7.79678,124.18548,Rantian,Bayang,LANAO DEL SUR,PH153604000,PH153604037,PH153600000
216032,Raya Bobong PS,PS,Public,7.780582,124.197965,Bubong Raya,Bayang,LANAO DEL SUR,PH153604000,PH153604055,PH153600000
133605,Samporna ES,ES,Public,7.79414,124.200088,Samporna (Pob.),Bayang,LANAO DEL SUR,PH153604000,PH153604041,PH153600000
216026,Sapa PS,PS,Public,7.785392,124.206467,Sapa,Bayang,LANAO DEL SUR,PH153604000,PH153604040,PH153600000
216031,Sogod PS,PS,Public,7.776478,124.193907,Sugod,Bayang,LANAO DEL SUR,PH153604000,PH153601025,PH153600000
133597,Sultan Pandapatan CES,CES,Public,7.788609,124.176017,Sultan Pandapatan,Bayang,LANAO DEL SUR,PH153604000,PH153604044,PH153600000
133606,Sumbag PS,PS,Public,7.793682,124.19949,Sumbag (Pob.),Bayang,LANAO DEL SUR,PH153604000,PH153604045,PH153600000
133598,Tagoranao ES,ES,Public,7.777618,124.166582,Tagoranao,Bayang,LANAO DEL SUR,PH153604000,PH153604046,PH153600000
216018,Tangcal PS,PS,Public,7.768233,124.169258,Tangcal,Bayang,LANAO DEL SUR,PH153604000,PH153604047,PH153600000
133607,Tomarompong PS,PS,Public,7.795278,124.201111,Tomarompong,Bayang,LANAO DEL SUR,PH153604000,PH153603051,PH153600000
216044,Tuca PS,PS,Public,7.797582,124.199686,Tuca (Pob.),Bayang,LANAO DEL SUR,PH153604000,PH153604049,PH153600000
304982,Bayang NHS,SHS,Public,7.787973,124.175354,Sultan Pandapatan,Bayang,LANAO DEL SUR,PH153604000,PH153604044,PH153600000
318238,Datu Mohammad Ali Cahar NHS,JHS,Public,7.798697,124.197116,Maliwanag,Bayang,LANAO DEL SUR,PH153604000,PH153604024,PH153600000
